COUNTY,CITY,COMPANY,ADDRESS,PHONE,SPACES,FULL_ADDRESS
Alameda,Oakland,S.F. Oakland Auto Truck Plaza,8255 San Leandro St,510-569-1624,50,"8255 San Leandro St, Oakland, CA"
Butte,Oroville,Gold Nugget BP Station,2970 Feather River Blvd,530-533-9093,10,"2970 Feather River Blvd, Oroville, CA"
Fresno,Fowler,Texaco Truck Stop #5,2747 E Manning Ave,559-834-3634,85,"2747 E Manning Ave, Fowler, CA"
Fresno,Fresno,Beacon 5th Wheel Truck Stop,3767 S. Golden State Blvd,559-485-0701,40,"3767 S. Golden State Blvd, Fresno, CA"
Fresno,Fresno,Kleins Truck Stop,6725 N Golden State Blvd,559-276-8003,150,"6725 N Golden State Blvd, Fresno, CA"
Fresno,Fresno,RVJ's Truck Stop,4021 S. Maple,559-485-8220,12,"4021 S. Maple, Fresno, CA"
Fresno,Kingsburg,Red Triangle (Exxon),38440 Highway 99,559-897-3015,8,"38440 Highway 99, Kingsburg, CA"
Fresno,Selma,Boyett Petroleum,3000 E Floral Ave,559-896-2744,50,"3000 E Floral Ave, Selma, CA"
Fresno,Selma,"Kailey's Break Place, Inc.",13025 S Van Horn Ave,559-891-9191,10,"13025 S Van Horn Ave, Selma, CA"
Glenn,Orland,Beacon Fuel Stop #609,1021 South St,530-865-9645,15,"1021 South St, Orland, CA"
Humboldt,Fortuna,Hansen Truck Stop Inc,2404 Sandy Prairie Rd,707-725-1744,100,"2404 Sandy Prairie Rd, Fortuna, CA"
Imperial,El Centro,Hwy 111 Truck Stop,1963 S. Highway 111,760-353-3303,30,"1963 S. Highway 111, El Centro, CA"
Imperial,El Centro,Imperial 8 Travel Center,550 Wake Ave,760-352-8800,108,"550 Wake Ave, El Centro, CA"
Imperial,Westmorland,"Frank R. Lyall & Son, Inc.",431 W Main St,760-351-5050,20,"431 W Main St, Westmorland, CA"
Kern,Arvin,Truck Stops of America,5800 N. Wheeler Ridge Rd,661-858-2804 x19,165,"5800 N. Wheeler Ridge Rd, Arvin, CA"
Kern,Bakersfield,Beacon Truck Stop,3225 Buck Owens Blvd,661-324-9481,6,"3225 Buck Owens Blvd, Bakersfield, CA"
Kern,Bakersfield,Bear Mountain Truck Stop,15840 Costajo St,661-834-5733,50,"15840 Costajo St, Bakersfield, CA"
Kern,Bakersfield,Bruce's Truckstop,8311 E Brundage Lane,661-366-5734,150,"8311 E Brundage Lane, Bakersfield, CA"
Kern,Bakersfield,Easy Trip Exxon,29541 Stockdale Hwy,661-764-5217,1,"29541 Stockdale Hwy, Bakersfield, CA"
Kern,Bakersfield,Flying J Travel Plaza #5320,17047 Zachary Rd,661-392-5300,250,"17047 Zachary Rd, Bakersfield, CA"
Kern,Bakersfield,Kimber Avenue Texaco,8200 Kimber Ave,661-366-1860,30,"8200 Kimber Ave, Bakersfield, CA"
Kern,Bakersfield,Renegade Truck Stop,2023 Mettler Frontage Rd W,661-858-2703,20,"2023 Mettler Frontage Rd W, Bakersfield, CA"
Kern,Buttonwillow,Bruce's Buttonwillow,27780 Lagoon Dr,661-764-5107,55,"27780 Lagoon Dr, Buttonwillow, CA"
Kern,Buttonwillow,Buttonwillow TA Travel Center,27769 Lagoon Dr,661-764-5266,200,"27769 Lagoon Dr, Buttonwillow, CA"
Kern,Delano,Akal Truck Stop,"Route 1, Box 973-2",661-725-5525,50,"Route 1, Box 973-2, Delano, CA"
Kern,Lebec,Flying J Travel Plaza,42810 Frazier Mtn Park Rd,661-248-2600,350,"42810 Frazier Mtn Park Rd, Lebec, CA"
Kern,Lost Hills,Lost Hills TA Travel Center,14814 Aloma St,661-797-2354,80,"14814 Aloma St, Lost Hills, CA"
Kern,Mojave,Giant Truck Stop of Mojave,16600 Sierra Hwy,805-524-3737 x17,50,"16600 Sierra Hwy, Mojave, CA"
Kern,Pumpkin Center,Mikuls Pumpkin Center Truck Terminal,P.O. Box 78197,661-832-5390,25,"P.O. Box 78197, Pumpkin Center, CA"
Kern,Wheeler Ridge,Petro Stopping Center 28,5821 Dennis McCarthy Dr,661-663-4320,420,"5821 Dennis McCarthy Dr, Wheeler Ridge, CA"
Kings,Kettleman City,Beacon Truck Stop,"33190 Hubert Way, Box 389",559-386-9076,10,"33190 Hubert Way, Box 389, Kettleman City, CA"
Los Angeles,Acton,Acton Unocal 76 Truck Stop,3807 W Sierra Hwy,661-269-0760,4,"3807 W Sierra Hwy, Acton, CA"
